"","lagoslakeid","var","slopeProbs","slopeSign","slopemean","pctchg","pptpctchg","so4changepct","nhd_lat","nhd_long","wetlands","maxdepth"
"1","100566","color",0.865133333333333,1,0.0379133362655075,3.79133362655075,50.9920821088399,NA,45.288456,-70.783217,15.84,NA
"2","100566","doc",0.817466666666667,1,0.01293198244896,1.293198244896,82.5233026427693,NA,45.288456,-70.783217,15.84,NA
"3","100567","color",0.7406,1,0.0142206342593699,1.42206342593699,26.7587852412027,-61.5953798953257,44.804557,-70.578633,NA,NA
"4","100567","doc",0.958466666666667,1,0.0148532010030093,1.48532010030093,19.7461112222721,-61.5953798953257,44.804557,-70.578633,NA,NA
"5","100953","color",0.999266666666667,1,0.0480189600081789,4.80189600081789,20.2711970551864,-74.9947870329182,43.712164,-74.798791,15.57,21.9
"6","100953","doc",0.987866666666667,1,0.0127012131074644,1.27012131074644,93.3689633980709,-74.9947870329182,43.712164,-74.798791,15.57,21.9
"7","102295","doc",0.9948,1,0.0241184328966324,2.41184328966324,136.454813815805,-63.8531525266574,45.985618,-89.380106,23.54,7.7
"8","102295","color",1,0,-0.103687227026356,-10.3687227026356,36.7719205977998,-63.8531525266574,45.985618,-89.380106,23.54,7.7
"9","1023","doc",0.501866666666667,0,-8.07430901978467e-05,-0.00807430901978467,41.6058292795578,-55.3679905067286,44.331243,-68.255282,1.33,45.72
"10","102610","color",0.5936,0,-0.00444717108256122,-0.444717108256122,17.7742347580993,-64.4100668278117,44.919558,-70.513844,NA,NA
"11","102610","doc",0.593266666666667,0,-0.00181631761246299,-0.181631761246299,5.90638863459121,-64.4100668278117,44.919558,-70.513844,NA,NA
"12","10331","doc",0.813533333333333,1,0.011080686789598,1.1080686789598,17.766881875511,-69.0717570842194,46.470262,-85.701951,4.52,4.5
"13","10331","color",0.997133333333333,0,-0.0795291474496937,-7.95291474496937,17.3846683365161,-69.0717570842194,46.470262,-85.701951,4.52,4.5
"14","104043","color",0.6508,1,0.00572490313943655,0.572490313943655,29.9699153446537,-76.209507656406,43.566138,-75.22692,18.82,10.1
"15","104043","doc",0.808733333333333,1,0.00486092234397797,0.486092234397797,120.017379553189,-76.209507656406,43.566138,-75.22692,18.82,10.1
"16","1043","color",0.892466666666667,0,-0.0301224102654039,-3.01224102654039,33.5442166203548,-61.1825206388804,43.601312,-90.189079,0.04,12.192
"17","10518","doc",0.825866666666667,1,0.00605423195364552,0.605423195364552,118.653225276078,-75.718623915559,43.539426,-74.927393,13.77,17.7
"18","10518","color",0.942,1,0.027202838087683,2.7202838087683,58.2417071189385,-75.718623915559,43.539426,-74.927393,13.77,17.7
"19","105870","doc",0.901533333333333,1,0.00787458285611419,0.78745828561142,-26.0127450380762,-70.8017672124235,43.987763,-74.241502,10.27,7.9
"20","105870","color",0.931933333333333,1,0.0251334656079051,2.51334656079051,30.1345167507354,-70.8017672124235,43.987763,-74.241502,10.27,7.9
"21","106038","doc",0.998533333333333,1,0.0333122913457189,3.33122913457189,80.1423244809966,-69.7456506794987,46.454436,-86.259549,18.4,11
